Facility Name,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date,Excess Readmission Ratio_standardized,Predicted Readmission Rate_standardized,Expected Readmission Rate_standardized
GEISINGER MEDICAL CENTER,PA,Pneumonia,463.0,1.1,18.51,16.88,92,07/01/2020,06/30/2023,1.4249563334679953,0.5113699492006719,-0.1599960762561236
GEISINGER MEDICAL CENTER,PA,COPD,171.0,0.97,20.5,21.17,33,07/01/2020,06/30/2023,-0.6148530484551824,1.3871572296472285,2.1377028524597725
SAINT VINCENT HOSPITAL,PA,Pneumonia,267.0,0.94,15.14,16.17,36,07/01/2020,06/30/2023,-1.0855782904374542,-0.9717472041183726,-0.5402679269293821
SAINT VINCENT HOSPITAL,PA,COPD,93.0,1.01,18.37,18.1,18,07/01/2020,06/30/2023,0.012780607521180043,0.44975677369186867,0.4934287939148314
LANSDALE HOSPITAL,PA,Pneumonia,267.0,1.0,14.64,14.67,39,07/01/2020,06/30/2023,-0.14412780647291057,-1.1917942595069548,-1.3436591607461295
LANSDALE HOSPITAL,PA,COPD,110.0,1.08,18.5,17.15,25,07/01/2020,06/30/2023,1.1111395054798143,0.5069690080928996,-0.015385654169109492
WELLSPAN EVANGELICAL COMMUNITY HOSPITAL,PA,Pneumonia,216.0,0.92,13.16,14.31,23,07/01/2020,06/30/2023,-1.3993951184256337,-1.8431335434571583,-1.5364730568621483
WELLSPAN EVANGELICAL COMMUNITY HOSPITAL,PA,COPD,91.0,1.02,18.23,17.81,18,07/01/2020,06/30/2023,0.16968902151527065,0.3881435981830654,0.338106488710259
UPMC JAMESON,PA,Pneumonia,155.0,1.08,20.38,18.89,37,07/01/2020,06/30/2023,1.1111395054798143,1.3343459363539683,0.9165481770583174
TEMPLE HEALTH - CHESTNUT HILL HOSPITAL,PA,Pneumonia,262.0,1.0,17.44,17.35,46,07/01/2020,06/30/2023,-0.14412780647291057,0.04046925066910587,0.09173317700645821
TEMPLE HEALTH - CHESTNUT HILL HOSPITAL,PA,COPD,79.0,1.0,18.89,18.87,15,07/01/2020,06/30/2023,-0.14412780647291057,0.678605711295994,0.9058362939407609
TEMPLE UNIVERSITY HOSPITAL,PA,Pneumonia,230.0,1.01,17.1,16.94,40,07/01/2020,06/30/2023,0.012780607521180043,-0.10916274699512997,-0.12786042690345253
TEMPLE UNIVERSITY HOSPITAL,PA,COPD,439.0,1.15,20.35,17.74,98,07/01/2020,06/30/2023,2.209498403438445,1.3211431130306543,0.3006148977988107
UPMC MERCY,PA,Pneumonia,110.0,0.97,17.63,18.25,17,07/01/2020,06/30/2023,-0.6148530484551824,0.12408713171676611,0.5737679172965052
SCHUYLKILL MEDICAL CENTER - SOUTH JACKSON STREET,PA,Pneumonia,179.0,0.94,15.16,16.12,23,07/01/2020,06/30/2023,-1.0855782904374542,-0.9629453219028296,-0.567047634723274
SCHUYLKILL MEDICAL CENTER - SOUTH JACKSON STREET,PA,COPD,86.0,0.99,18.04,18.19,15,07/01/2020,06/30/2023,-0.3010362204670012,0.3045257171354036,0.5416322679438361
ALLEGHENY VALLEY HOSPITAL,PA,Pneumonia,101.0,1.0,15.57,15.51,16,07/01/2020,06/30/2023,-0.14412780647291057,-0.782506736484192,-0.8937600698087516
ST LUKES QUAKERTOWN HOSPITAL,PA,Pneumonia,169.0,1.06,16.69,15.79,32,07/01/2020,06/30/2023,0.797322677491633,-0.28960133241376745,-0.7437937061629593
HERITAGE VALLEY BEAVER,PA,Pneumonia,172.0,0.89,14.29,16.01,17,07/01/2020,06/30/2023,-1.8701203604079053,-1.345827198278963,-0.6259629918698351
UNIONTOWN HOSPITAL,PA,Pneumonia,151.0,1.01,16.68,16.48,26,07/01/2020,06/30/2023,0.012780607521180043,-0.2940022735215398,-0.37423373860725523
UNIONTOWN HOSPITAL,PA,COPD,76.0,1.0,17.43,17.5,13,07/01/2020,06/30/2023,-0.14412780647291057,0.03606830956133354,0.1720723003881321
"WASHINGTON HOSPITAL, THE",PA,Pneumonia,188.0,0.95,14.46,15.17,24,07/01/2020,06/30/2023,-0.9286698764433635,-1.2710111994468443,-1.0758620828072138
READING HOSPITAL,PA,Pneumonia,846.0,1.08,17.85,16.6,156,07/01/2020,06/30/2023,1.1111395054798143,0.22090783608774334,-0.30996243990191497
READING HOSPITAL,PA,COPD,260.0,1.17,23.35,19.95,71,07/01/2020,06/30/2023,2.523315231426626,2.6414254453621475,1.4842779822888175
UPMC WILLIAMSPORT,PA,Pneumonia,334.0,1.03,18.19,17.62,63,07/01/2020,06/30/2023,0.32659743550936127,0.3705398337519792,0.23634359909347233
UPMC WILLIAMSPORT,PA,COPD,128.0,1.03,19.72,19.18,27,07/01/2020,06/30/2023,0.32659743550936127,1.0438838232410397,1.071870482262888
WELLSPAN YORK HOSPITAL,PA,Pneumonia,595.0,0.87,13.89,16.05,73,07/01/2020,06/30/2023,-2.1839371883960865,-1.5218648425898282,-0.6045392256347223
WELLSPAN YORK HOSPITAL,PA,COPD,206.0,1.01,18.62,18.42,39,07/01/2020,06/30/2023,0.012780607521180043,0.5597803013861598,0.6648189237957374
GEISINGER-LEWISTOWN HOSPITAL,PA,Pneumonia,203.0,0.99,15.71,15.92,31,07/01/2020,06/30/2023,-0.3010362204670012,-0.7208935609753887,-0.6741664658988408
GEISINGER-LEWISTOWN HOSPITAL,PA,COPD,80.0,0.95,19.96,20.92,13,07/01/2020,06/30/2023,-0.9286698764433635,1.14950640982756,2.0038043134903147
ST LUKE'S HOSPITAL BETHLEHEM,PA,Pneumonia,492.0,1.0,16.85,16.82,83,07/01/2020,06/30/2023,-0.14412780647291057,-0.21918627468942106,-0.19213172560879277
ST LUKE'S HOSPITAL BETHLEHEM,PA,COPD,211.0,0.98,17.16,17.51,35,07/01/2020,06/30/2023,-0.45794463446109174,-0.08275710034850066,0.17742824194691123
ALLEGHENY GENERAL HOSPITAL,PA,Pneumonia,147.0,0.93,16.87,18.08,20,07/01/2020,06/30/2023,-1.242486704431543,-0.21038439247387797,0.4827169107972731
ALLEGHENY GENERAL HOSPITAL,PA,COPD,50.0,1.11,20.56,18.47,17,07/01/2020,06/30/2023,1.581864747462086,1.4135628762938577,0.6915986315896274
PENN HIGHLANDS HUNTINGDON,PA,Pneumonia,60.0,1.05,14.23,13.5,12,07/01/2020,06/30/2023,0.6404142634975425,-1.3722328449255923,-1.9703043231231916
GRAND VIEW HEALTH,PA,Pneumonia,317.0,1.0,16.17,16.24,51,07/01/2020,06/30/2023,-0.14412780647291057,-0.5184502700178928,-0.5027763360179357
GRAND VIEW HEALTH,PA,COPD,86.0,0.98,16.67,17.04,13,07/01/2020,06/30/2023,-0.45794463446109174,-0.2984032146293105,-0.07430101131567059
UPMC CARLISLE,PA,Pneumonia,177.0,0.96,15.59,16.19,25,07/01/2020,06/30/2023,-0.7717614624492729,-0.7737048542686489,-0.5295560438118257
UPMC CARLISLE,PA,COPD,75.0,1.01,18.21,18.11,14,07/01/2020,06/30/2023,0.012780607521180043,0.3793417159675223,0.49878473547360863
UPMC HAMOT,PA,Pneumonia,239.0,0.97,16.73,17.22,38,07/01/2020,06/30/2023,-0.6148530484551824,-0.2719975679826812,0.022105936742338822
UPMC HAMOT,PA,COPD,126.0,1.03,19.06,18.46,26,07/01/2020,06/30/2023,0.32659743550936127,0.7534217101281111,0.6862426900308503
GETTYSBURG HOSPITAL,PA,Pneumonia,222.0,0.92,15.19,16.54,28,07/01/2020,06/30/2023,-1.3993951184256337,-0.9497424985795149,-0.342098089254586
GETTYSBURG HOSPITAL,PA,COPD,100.0,0.95,16.94,17.79,14,07/01/2020,06/30/2023,-0.9286698764433635,-0.17957780471947635,0.3273946055927026
WELLSPAN GOOD SAMARITAN HOSPITAL,PA,Pneumonia,187.0,1.01,16.28,16.15,31,07/01/2020,06/30/2023,0.012780607521180043,-0.4700399178324049,-0.5509798100469404
WELLSPAN GOOD SAMARITAN HOSPITAL,PA,COPD,89.0,0.97,16.62,17.12,13,07/01/2020,06/30/2023,-0.6148530484551824,-0.32040792016816905,-0.031453478845443125
UPMC PINNACLE HOSPITALS,PA,Pneumonia,663.0,0.94,15.42,16.41,98,07/01/2020,06/30/2023,-1.0855782904374542,-0.8485208531007669,-0.4117253295187035
UPMC PINNACLE HOSPITALS,PA,COPD,212.0,1.04,18.62,17.88,42,07/01/2020,06/30/2023,0.4835058495034518,0.5597803013861598,0.37559807962170727
UPMC LITITZ,PA,Pneumonia,63.0,1.04,14.85,14.26,12,07/01/2020,06/30/2023,0.4835058495034518,-1.0993744962437506,-1.5632527646560401
UPMC ALTOONA,PA,Pneumonia,336.0,0.95,17.04,17.86,54,07/01/2020,06/30/2023,-0.9286698764433635,-0.13556839364176082,0.3648861965041509
UPMC ALTOONA,PA,COPD,104.0,1.0,21.22,21.25,22,07/01/2020,06/30/2023,-0.14412780647291057,1.7040249894067863,2.180550384929998
ROBERT PACKER HOSPITAL,PA,Pneumonia,313.0,0.93,15.56,16.67,44,07/01/2020,06/30/2023,-1.242486704431543,-0.7869076775919636,-0.27247084899046664
ROBERT PACKER HOSPITAL,PA,COPD,127.0,0.97,17.01,17.46,20,07/01/2020,06/30/2023,-0.6148530484551824,-0.1487712169650747,0.1506485341530193
PENN HIGHLANDS DUBOIS,PA,Pneumonia,240.0,0.95,15.23,16.05,33,07/01/2020,06/30/2023,-0.9286698764433635,-0.9321387341484278,-0.6045392256347223
PENN HIGHLANDS DUBOIS,PA,COPD,148.0,0.99,19.9,20.04,29,07/01/2020,06/30/2023,-0.3010362204670012,1.123100763180929,1.5324814563178222
UPMC NORTHWEST,PA,Pneumonia,213.0,1.16,20.38,17.54,54,07/01/2020,06/30/2023,2.3664068174325354,1.3343459363539683,0.19349606662324487
UPMC NORTHWEST,PA,COPD,62.0,1.02,17.52,17.2,12,07/01/2020,06/30/2023,0.16968902151527065,0.07567677953127828,0.011394053624782434
PENN STATE HEALTH ST. JOSEPH,PA,Pneumonia,211.0,1.0,15.72,15.76,33,07/01/2020,06/30/2023,-0.14412780647291057,-0.7164926198676173,-0.7598615308392938
PENN STATE HEALTH ST. JOSEPH,PA,COPD,104.0,0.96,16.77,17.47,15,07/01/2020,06/30/2023,-0.7717614624492729,-0.254393803551595,0.15600447571179654
HOLY REDEEMER HOSPITAL AND MEDICAL CENTER,PA,Pneumonia,336.0,1.02,15.45,15.19,53,07/01/2020,06/30/2023,0.16968902151527065,-0.8353180297774522,-1.0651501996896575
HOLY REDEEMER HOSPITAL AND MEDICAL CENTER,PA,COPD,90.0,1.01,17.34,17.23,16,07/01/2020,06/30/2023,0.012780607521180043,-0.0035401604086111914,0.02746187830111797
LANCASTER GENERAL HOSPITAL,PA,Pneumonia,615.0,0.86,13.29,15.41,72,07/01/2020,06/30/2023,-2.340845602390177,-1.7859213090561274,-0.9473194853965344
LANCASTER GENERAL HOSPITAL,PA,COPD,243.0,1.0,19.7,19.66,48,07/01/2020,06/30/2023,-0.14412780647291057,1.0350819410254966,1.328955677084247
UPMC MEMORIAL,PA,Pneumonia,138.0,0.97,14.66,15.15,18,07/01/2020,06/30/2023,-0.6148530484551824,-1.1829923772914117,-1.0865739659247704
UPMC ST MARGARET,PA,Pneumonia,187.0,0.95,15.31,16.15,25,07/01/2020,06/30/2023,-0.9286698764433635,-0.8969312052862547,-0.5509798100469404
UPMC ST MARGARET,PA,COPD,45.0,1.07,15.96,14.95,11,07/01/2020,06/30/2023,0.9542310914857236,-0.6108700332810977,-1.193692797100337
UPMC PASSAVANT,PA,Pneumonia,293.0,0.91,15.46,16.97,39,07/01/2020,06/30/2023,-1.5563035324197243,-0.8309170886696798,-0.1117926022271189
UPMC PASSAVANT,PA,COPD,75.0,1.01,17.87,17.7,14,07/01/2020,06/30/2023,0.012780607521180043,0.22970971830328646,0.2791911315636979
CONEMAUGH MEMORIAL MEDICAL CENTER,PA,Pneumonia,231.0,1.03,18.92,18.31,46,07/01/2020,06/30/2023,0.32659743550936127,0.6918085346193094,0.6059035666491744
HOSPITAL OF UNIV OF PENNSYLVANIA,PA,Pneumonia,291.0,1.02,20.04,19.57,60,07/01/2020,06/30/2023,0.16968902151527065,1.1847139386897325,1.2807522030552423
HOSPITAL OF UNIV OF PENNSYLVANIA,PA,COPD,105.0,0.95,18.37,19.36,16,07/01/2020,06/30/2023,-0.9286698764433635,0.44975677369186867,1.1682774303208971
MEADVILLE MEDICAL CENTER,PA,Pneumonia,173.0,0.97,15.7,16.21,25,07/01/2020,06/30/2023,-0.6148530484551824,-0.725294502083161,-0.5188441606942693
JEFFERSON HEALTH- NORTHEAST,PA,Pneumonia,480.0,1.05,17.59,16.7,88,07/01/2020,06/30/2023,0.6404142634975425,0.10648336728567992,-0.25640302431413303
JEFFERSON HEALTH- NORTHEAST,PA,COPD,315.0,1.12,20.0,17.89,70,07/01/2020,06/30/2023,1.7387731614561766,1.1671101742586463,0.38095402118048644
SUBURBAN COMMUNITY HOSPITAL,PA,Pneumonia,133.0,1.0,18.75,18.73,25,07/01/2020,06/30/2023,-0.14412780647291057,0.6169925357871907,0.8308531121178643
UPMC BEDFORD MEMORIAL,PA,Pneumonia,117.0,0.94,15.61,16.63,14,07/01/2020,06/30/2023,-1.0855782904374542,-0.7649029720531059,-0.29389461522558136
POTTSTOWN HOSPITAL,PA,Pneumonia,236.0,1.01,15.9,15.79,38,07/01/2020,06/30/2023,0.012780607521180043,-0.6372756799277277,-0.7437937061629593
POTTSTOWN HOSPITAL,PA,COPD,97.0,1.0,17.76,17.82,17,07/01/2020,06/30/2023,-0.14412780647291057,0.18129936611779862,0.3434624302690381
WAYNE MEMORIAL HOSPITAL,PA,Pneumonia,234.0,0.91,12.79,14.02,24,07/01/2020,06/30/2023,-1.5563035324197243,-2.0059683644447097,-1.6917953620667197
WAYNE MEMORIAL HOSPITAL,PA,COPD,145.0,0.96,14.1,14.71,18,07/01/2020,06/30/2023,-0.7717614624492729,-1.429445079326624,-1.3222353945110157
PHOENIXVILLE HOSPITAL,PA,Pneumonia,253.0,1.07,17.2,16.1,48,07/01/2020,06/30/2023,0.9542310914857236,-0.06515333591741446,-0.5777595178408305
PHOENIXVILLE HOSPITAL,PA,COPD,107.0,1.07,20.16,18.78,26,07/01/2020,06/30/2023,0.9542310914857236,1.2375252319829926,0.8576328199117562
LEHIGH VALLEY HOSPITAL,PA,Pneumonia,1100.0,1.08,17.4,16.04,197,07/01/2020,06/30/2023,1.1111395054798143,0.02286548623801811,-0.6098951671935015
LEHIGH VALLEY HOSPITAL,PA,COPD,508.0,1.19,22.64,19.07,126,07/01/2020,06/30/2023,2.8371320594148073,2.3289586267103606,1.0129551251163267
WILKES-BARRE GENERAL HOSPITAL,PA,Pneumonia,287.0,1.01,16.42,16.21,48,07/01/2020,06/30/2023,0.012780607521180043,-0.40842674232360165,-0.5188441606942693
WILKES-BARRE GENERAL HOSPITAL,PA,COPD,248.0,1.01,19.88,19.66,50,07/01/2020,06/30/2023,0.012780607521180043,1.114298880965386,1.328955677084247
WELLSPAN WAYNESBORO HOSPITAL,PA,Pneumonia,135.0,0.99,14.46,14.57,19,07/01/2020,06/30/2023,-0.3010362204670012,-1.2710111994468443,-1.3972185763339122
WELLSPAN WAYNESBORO HOSPITAL,PA,COPD,57.0,1.08,17.93,16.57,15,07/01/2020,06/30/2023,1.1111395054798143,0.25611536494991577,-0.3260302645782505
BRYN MAWR HOSPITAL,PA,Pneumonia,609.0,1.03,16.59,16.12,103,07/01/2020,06/30/2023,0.32659743550936127,-0.3336107434914845,-0.567047634723274
BRYN MAWR HOSPITAL,PA,COPD,184.0,1.1,20.75,18.91,44,07/01/2020,06/30/2023,1.4249563334679953,1.4971807573415195,0.9272600601758737
ALBERT EINSTEIN MEDICAL CENTER,PA,Pneumonia,120.0,1.04,18.32,17.54,25,07/01/2020,06/30/2023,0.4835058495034518,0.42775206815301015,0.19349606662324487
ALBERT EINSTEIN MEDICAL CENTER,PA,COPD,93.0,0.98,18.9,19.38,16,07/01/2020,06/30/2023,-0.45794463446109174,0.6830066524037648,1.1789893134384537
EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL,PA,Pneumonia,280.0,0.96,17.4,18.1,46,07/01/2020,06/30/2023,-0.7717614624492729,0.02286548623801811,0.4934287939148314
WARREN GENERAL HOSPITAL,PA,Pneumonia,131.0,1.03,16.62,16.09,24,07/01/2020,06/30/2023,0.32659743550936127,-0.32040792016816905,-0.5831154593996095
WARREN GENERAL HOSPITAL,PA,COPD,58.0,1.05,20.54,19.57,15,07/01/2020,06/30/2023,0.6404142634975425,1.4047609940783146,1.2807522030552423
WELLSPAN CHAMBERSBURG HOSPITAL,PA,Pneumonia,510.0,0.95,15.02,15.85,73,07/01/2020,06/30/2023,-0.9286698764433635,-1.0245584974116329,-0.711658056810289
WELLSPAN CHAMBERSBURG HOSPITAL,PA,COPD,142.0,0.97,17.46,17.98,23,07/01/2020,06/30/2023,-0.6148530484551824,0.049271132884648974,0.42915749520949115
PAOLI HOSPITAL,PA,Pneumonia,666.0,1.0,16.19,16.16,108,07/01/2020,06/30/2023,-0.14412780647291057,-0.5096483878023497,-0.5456238684881612
PAOLI HOSPITAL,PA,COPD,174.0,1.05,19.36,18.35,37,07/01/2020,06/30/2023,0.6404142634975425,0.8854499433612607,0.6273273328842891
MERCY CATHOLIC MEDICAL CENTER- MERCY FITZGERALD,PA,Pneumonia,83.0,1.1,19.52,17.73,23,07/01/2020,06/30/2023,1.4249563334679953,0.9558650010856071,0.2952589562400334
MERCY CATHOLIC MEDICAL CENTER- MERCY FITZGERALD,PA,COPD,99.0,1.12,23.05,20.66,30,07/01/2020,06/30/2023,1.7387731614561766,2.509397212128998,1.8645498329620778
ACMH HOSPITAL,PA,Pneumonia,70.0,1.07,16.35,15.28,16,07/01/2020,06/30/2023,0.9542310914857236,-0.4392333300780033,-1.0169467256606528
UPMC PRESBYTERIAN SHADYSIDE,PA,Pneumonia,388.0,1.04,19.4,18.66,78,07/01/2020,06/30/2023,0.4835058495034518,0.903053707792347,0.793361521206416
UPMC PRESBYTERIAN SHADYSIDE,PA,COPD,102.0,1.02,19.18,18.74,21,07/01/2020,06/30/2023,0.16968902151527065,0.8062330034213713,0.8362090536766416
INDEPENDENCE HEALTH SYSTEM BUTLER MEMORIAL HOSPITA,PA,Pneumonia,155.0,0.93,15.43,16.6,19,07/01/2020,06/30/2023,-1.242486704431543,-0.8441199119929953,-0.30996243990191497
INDEPENDENCE HEALTH SYSTEM BUTLER MEMORIAL HOSPITA,PA,COPD,68.0,1.04,18.76,18.07,15,07/01/2020,06/30/2023,0.4835058495034518,0.621393476894963,0.47736096923849586
INDIANA REGIONAL MEDICAL CENTER,PA,Pneumonia,101.0,1.01,15.49,15.41,16,07/01/2020,06/30/2023,0.012780607521180043,-0.8177142653463653,-0.9473194853965344
THOMAS JEFFERSON UNIVERSITY HOSPITAL,PA,Pneumonia,303.0,0.93,16.76,17.96,46,07/01/2020,06/30/2023,-1.242486704431543,-0.2587947446593658,0.41844561209193476
THOMAS JEFFERSON UNIVERSITY HOSPITAL,PA,COPD,175.0,1.06,21.36,20.2,41,07/01/2020,06/30/2023,0.797322677491633,1.7656381649155897,1.618176521258275
UPMC HORIZON,PA,Pneumonia,114.0,1.01,17.18,17.07,20,07/01/2020,06/30/2023,0.012780607521180043,-0.07395521813295756,-0.05823318663933505
CHESTER COUNTY HOSPITAL,PA,Pneumonia,530.0,0.91,13.76,15.05,67,07/01/2020,06/30/2023,-1.5563035324197243,-1.5790770769908598,-1.1401333815125532
CHESTER COUNTY HOSPITAL,PA,COPD,286.0,1.02,19.56,19.24,57,07/01/2020,06/30/2023,0.16968902151527065,0.9734687655166934,1.104006131615557
CROZER CHESTER MEDICAL CENTER,PA,Pneumonia,348.0,0.97,16.42,16.93,55,07/01/2020,06/30/2023,-0.6148530484551824,-0.40842674232360165,-0.13321636846223167
CROZER CHESTER MEDICAL CENTER,PA,COPD,158.0,0.97,18.45,19.1,27,07/01/2020,06/30/2023,-0.6148530484551824,0.48496430255404105,1.0290229497926622
ST LUKE'S MINERS MEMORIAL HOSPITAL,PA,Pneumonia,124.0,0.98,15.85,16.25,18,07/01/2020,06/30/2023,-0.45794463446109174,-0.6592803854665863,-0.49742039445915653
LEHIGH VALLEY HOSPITAL - HAZLETON,PA,Pneumonia,227.0,1.0,15.82,15.81,36,07/01/2020,06/30/2023,-0.14412780647291057,-0.672483208789901,-0.7330818230454018
LEHIGH VALLEY HOSPITAL - HAZLETON,PA,COPD,104.0,1.02,17.22,16.91,19,07/01/2020,06/30/2023,0.16968902151527065,-0.05635145370187136,-0.14392825157978806
MAIN LINE HOSPITAL LANKENAU,PA,Pneumonia,407.0,1.06,18.18,17.17,78,07/01/2020,06/30/2023,0.797322677491633,0.36613889264420685,-0.004673771051551199
MAIN LINE HOSPITAL LANKENAU,PA,COPD,101.0,1.0,17.55,17.47,18,07/01/2020,06/30/2023,-0.14412780647291057,0.08887960285459372,0.15600447571179654
LEHIGH VALLEY HOSPITAL - POCONO,PA,Pneumonia,303.0,1.04,16.26,15.62,52,07/01/2020,06/30/2023,0.4835058495034518,-0.478841800047948,-0.8348447126621904
LEHIGH VALLEY HOSPITAL - POCONO,PA,COPD,150.0,1.09,19.22,17.67,34,07/01/2020,06/30/2023,1.268047919473905,0.8238367678524575,0.26312330688736424
DOYLESTOWN HOSPITAL,PA,Pneumonia,543.0,0.97,15.48,15.95,82,07/01/2020,06/30/2023,-0.6148530484551824,-0.8221152064541367,-0.6580986412225062
DOYLESTOWN HOSPITAL,PA,COPD,188.0,0.99,18.84,18.96,35,07/01/2020,06/30/2023,-0.3010362204670012,0.6566010057571354,0.9540397679697656
NAZARETH HOSPITAL,PA,Pneumonia,203.0,1.0,18.6,18.54,38,07/01/2020,06/30/2023,-0.14412780647291057,0.5509784191706166,0.7290902225010758
NAZARETH HOSPITAL,PA,COPD,88.0,1.07,23.51,22.04,25,07/01/2020,06/30/2023,0.9542310914857236,2.711840503086494,2.603669768073484
SHARON REGIONAL HEALTH SYSTEM,PA,Pneumonia,116.0,1.0,16.5,16.54,19,07/01/2020,06/30/2023,-0.14412780647291057,-0.3732192134614292,-0.342098089254586
EXCELA HEALTH - FRICK HOSPITAL,PA,Pneumonia,77.0,0.97,16.85,17.34,11,07/01/2020,06/30/2023,-0.6148530484551824,-0.21918627468942106,0.08637723544767906
EXCELA HEALTH LATROBE HOSPITAL,PA,Pneumonia,171.0,1.0,17.74,17.83,30,07/01/2020,06/30/2023,-0.14412780647291057,0.17249748390225395,0.3488183718278154
RIDDLE MEMORIAL HOSPITAL,PA,Pneumonia,532.0,0.92,13.81,15.0,68,07/01/2020,06/30/2023,-1.3993951184256337,-1.5570723714520014,-1.1669130893064452
RIDDLE MEMORIAL HOSPITAL,PA,COPD,136.0,0.98,17.22,17.63,22,07/01/2020,06/30/2023,-0.45794463446109174,-0.05635145370187136,0.24169954065224958
PENN PRESBYTERIAN MEDICAL CENTER,PA,Pneumonia,101.0,1.07,19.28,18.07,24,07/01/2020,06/30/2023,0.9542310914857236,0.8502424144990883,0.47736096923849586
PENN PRESBYTERIAN MEDICAL CENTER,PA,COPD,107.0,1.04,19.4,18.73,23,07/01/2020,06/30/2023,0.4835058495034518,0.903053707792347,0.8308531121178643
WELLSPAN EPHRATA COMMUNITY HOSPITAL,PA,Pneumonia,112.0,1.0,14.99,14.95,17,07/01/2020,06/30/2023,-0.14412780647291057,-1.0377613207349474,-1.193692797100337
PENNSYLVANIA HOSPITAL,PA,Pneumonia,136.0,1.07,17.38,16.3,28,07/01/2020,06/30/2023,0.9542310914857236,0.01406360402247501,-0.4706406866652646
PENNSYLVANIA HOSPITAL,PA,COPD,94.0,1.02,19.89,19.48,20,07/01/2020,06/30/2023,0.16968902151527065,1.1186998220731583,1.2325487290262376
ST CLAIR HOSPITAL,PA,Pneumonia,417.0,0.95,14.2,14.91,56,07/01/2020,06/30/2023,-0.9286698764433635,-1.3854356682489077,-1.21511656333545
ST CLAIR HOSPITAL,PA,COPD,84.0,1.03,15.44,14.92,15,07/01/2020,06/30/2023,0.32659743550936127,-0.8397189708852237,-1.2097606217766717
ABINGTON MEMORIAL HOSPITAL,PA,Pneumonia,759.0,1.16,17.87,15.34,146,07/01/2020,06/30/2023,2.3664068174325354,0.22970971830328646,-0.9848110763079827
ABINGTON MEMORIAL HOSPITAL,PA,COPD,270.0,0.97,17.36,17.9,45,07/01/2020,06/30/2023,-0.6148530484551824,0.005261721806931909,0.38630996273926366
UPMC HANOVER,PA,Pneumonia,364.0,1.03,15.61,15.12,59,07/01/2020,06/30/2023,0.32659743550936127,-0.7649029720531059,-1.102641790601106
UPMC HANOVER,PA,COPD,129.0,0.95,16.52,17.46,18,07/01/2020,06/30/2023,-0.9286698764433635,-0.36441733124588616,0.1506485341530193
REGIONAL HOSPITAL OF SCRANTON,PA,Pneumonia,488.0,1.05,16.98,16.22,86,07/01/2020,06/30/2023,0.6404142634975425,-0.16197404028839013,-0.513488219135492
REGIONAL HOSPITAL OF SCRANTON,PA,COPD,122.0,0.94,17.14,18.27,17,07/01/2020,06/30/2023,-1.0855782904374542,-0.09155898256404377,0.5844798004140617
MILTON S HERSHEY MEDICAL CENTER,PA,Pneumonia,255.0,1.04,17.39,16.73,47,07/01/2020,06/30/2023,0.4835058495034518,0.018464545130247343,-0.24033519963779748
MILTON S HERSHEY MEDICAL CENTER,PA,COPD,145.0,0.93,18.91,20.28,23,07/01/2020,06/30/2023,-1.242486704431543,0.687407593511537,1.6610240537285026
ST MARY MEDICAL CENTER,PA,Pneumonia,681.0,0.94,15.11,16.02,99,07/01/2020,06/30/2023,-1.0855782904374542,-0.984950027441688,-0.6206070503110579
ST MARY MEDICAL CENTER,PA,COPD,215.0,1.19,22.66,19.0,60,07/01/2020,06/30/2023,2.8371320594148073,2.3377605089259035,0.9754635342048784
JEFFERSON HOSPITAL,PA,Pneumonia,244.0,0.96,15.98,16.7,36,07/01/2020,06/30/2023,-0.7717614624492729,-0.6020681510655546,-0.25640302431413303
JEFFERSON HOSPITAL,PA,COPD,97.0,0.99,16.86,16.95,16,07/01/2020,06/30/2023,-0.3010362204670012,-0.2147853335816503,-0.12250448534467528
FORBES HOSPITAL,PA,Pneumonia,223.0,1.03,16.2,15.75,38,07/01/2020,06/30/2023,0.32659743550936127,-0.5052474466945789,-0.765217472398072
FORBES HOSPITAL,PA,COPD,60.0,1.07,19.58,18.27,16,07/01/2020,06/30/2023,0.9542310914857236,0.9822706477322364,0.5844798004140617
MOUNT NITTANY MEDICAL CENTER,PA,Pneumonia,291.0,0.95,14.87,15.62,40,07/01/2020,06/30/2023,-0.9286698764433635,-1.0905726140282075,-0.8348447126621904
MOUNT NITTANY MEDICAL CENTER,PA,COPD,104.0,1.0,17.49,17.55,18,07/01/2020,06/30/2023,-0.14412780647291057,0.062473956207962845,0.198852008182024
GEISINGER WYOMING VALLEY MEDICAL CENTER,PA,Pneumonia,488.0,1.06,18.4,17.31,94,07/01/2020,06/30/2023,0.797322677491633,0.4629595970151825,0.07030941077134353
GEISINGER WYOMING VALLEY MEDICAL CENTER,PA,COPD,220.0,0.98,19.68,20.08,42,07/01/2020,06/30/2023,-0.45794463446109174,1.0262800588099534,1.5539052225529348
ROXBOROUGH MEMORIAL HOSPITAL,PA,Pneumonia,89.0,0.97,18.01,18.54,14,07/01/2020,06/30/2023,-0.6148530484551824,0.2913228938120897,0.7290902225010758
ST LUKE'S HOSPITAL - ANDERSON CAMPUS,PA,Pneumonia,382.0,0.99,15.63,15.79,59,07/01/2020,06/30/2023,-0.3010362204670012,-0.756101089837562,-0.7437937061629593
